Dates,BA,NOC
2022-09-22,138.71,496.46
2022-09-21,143.29,492.87
2022-09-20,145.94,494.0
2022-09-19,144.88,488.07
2022-09-16,144.29,485.2
2022-09-15,149.78,485.08
2022-09-14,149.26,484.88
2022-09-13,147.31,468.93
2022-09-12,158.72,482.3
2022-09-09,157.52,491.41
2022-09-08,157.79,489.73
2022-09-07,155.95,487.78
2022-09-06,152.39,479.74
2022-09-02,151.82,476.95
2022-09-01,153.66,480.32
2022-08-31,160.25,477.99
2022-08-30,162.21,480.93
2022-08-29,165.42,485.81
2022-08-26,164.53,485.13
2022-08-25,169.38,494.48
2022-08-24,163.6,488.89
2022-08-23,160.07,482.88
2022-08-22,158.98,484.19
2022-08-19,162.92,490.75
2022-08-18,168.69,492.88
2022-08-17,167.2,492.51
2022-08-16,172.08,485.5
2022-08-15,170.47,486.87
2022-08-12,169.99,479.58
2022-08-11,167.88,470.31
2022-08-10,169.02,473.14
2022-08-09,164.85,473.73
2022-08-08,165.89,470.05
2022-08-05,165.04,477.59
2022-08-04,166.5,478.04
2022-08-03,166.64,481.75
2022-08-02,163.28,481.05
2022-08-01,169.07,475.63
2022-07-29,159.31,478.9
2022-07-28,159.09,454.46
2022-07-27,156.09,445.81
2022-07-26,155.92,444.65
2022-07-25,156.64,453.32
2022-07-22,158.16,451.85
2022-07-21,161.41,453.8
2022-07-20,158.38,456.07
2022-07-19,156.13,457.39
2022-07-18,147.72,449.26
2022-07-15,147.74,461.2
2022-07-14,147.15,458.99
2022-07-13,143.95,465.2
2022-07-12,147.15,468.88
2022-07-11,136.99,475.51
2022-07-08,139.07,480.43
2022-07-07,139.97,479.38
2022-07-06,136.31,481.87
2022-07-05,137.7,464.36
2022-07-01,139.84,486.37
2022-06-30,136.72,478.57
2022-06-29,138.45,461.81
2022-06-28,138.7,464.67
2022-06-27,138.72,466.82
2022-06-24,141.53,463.7
2022-06-23,133.97,456.24
2022-06-22,137.16,458.61
2022-06-21,136.75,463.77
2022-06-17,136.8,443.93
2022-06-16,133.36,449.02
2022-06-15,133.72,458.45
2022-06-14,122.16,454.46
2022-06-13,115.86,460.68
2022-06-10,127.0,463.82
2022-06-09,133.73,462.92
2022-06-08,139.63,472.45
2022-06-07,140.82,492.06
2022-06-06,139.24,478.86
2022-06-03,139.25,478.37
2022-06-02,140.5,462.87
2022-06-01,130.65,464.25
2022-05-31,131.4,467.97
2022-05-27,132.23,470.76
2022-05-26,127.73,467.43
2022-05-25,122.06,467.62
2022-05-24,119.4,471.1
2022-05-23,124.07,456.77
2022-05-20,120.7,443.33
2022-05-19,127.14,448.5
2022-05-18,125.52,454.87
2022-05-17,132.05,459.28
2022-05-16,124.05,458.08
2022-05-13,127.2,452.83
2022-05-12,123.14,450.78
2022-05-11,129.39,446.48
2022-05-10,132.95,449.97
2022-05-09,133.31,453.98
2022-05-06,148.9,468.7
2022-05-05,150.47,466.66
2022-05-04,156.97,462.57
2022-05-03,153.58,451.25
2022-05-02,148.61,438.62
2022-04-29,148.84,439.4
2022-04-28,154.22,445.17
2022-04-27,154.46,439.77
2022-04-26,167.04,442.51
2022-04-25,175.91,444.02
2022-04-22,176.92,447.4
2022-04-21,181.02,443.45
2022-04-20,183.55,463.4
2022-04-19,185.98,464.41
2022-04-18,179.85,465.58
2022-04-14,181.94,467.2
2022-04-13,182.87,464.52
2022-04-12,176.28,463.28
2022-04-11,175.03,462.14
2022-04-08,175.2,463.66
2022-04-07,177.97,470.77
2022-04-06,178.72,461.46
2022-04-05,182.65,454.01
2022-04-04,191.18,452.29
2022-04-01,190.76,454.79
2022-03-31,191.5,447.22
2022-03-30,194.91,453.33
2022-03-29,193.8,446.31
2022-03-28,188.16,446.8
2022-03-25,188.95,458.18
2022-03-24,189.05,454.57
2022-03-23,186.04,446.92
2022-03-22,191.04,446.3
2022-03-21,185.9,446.6
2022-03-18,192.83,427.95
2022-03-17,190.19,428.8
2022-03-16,188.99,424.43
2022-03-15,179.89,447.82
2022-03-14,175.52,441.42
2022-03-11,176.23,436.3
2022-03-10,178.39,444.61
2022-03-09,178.56,449.92
2022-03-08,173.8,449.21
2022-03-07,169.17,477.95
2022-03-04,180.84,468.57
2022-03-03,188.85,449.69
2022-03-02,197.81,453.39
2022-03-01,194.91,456.1
2022-02-28,205.34,442.14
2022-02-25,201.48,409.67
2022-02-24,198.43,395.49
2022-02-23,196.42,386.08
2022-02-22,198.74,390.73
2022-02-18,209.03,391.25
2022-02-17,213.58,398.11
2022-02-16,218.93,393.66
2022-02-15,217.73,384.77
2022-02-14,210.04,390.6
2022-02-11,212.3,399.32
2022-02-10,218.75,382.02
2022-02-09,215.86,384.36
2022-02-08,213.27,379.32
2022-02-07,211.92,373.16
2022-02-04,206.45,369.75
2022-02-03,206.39,373.81
2022-02-02,207.52,370.98
2022-02-01,208.34,370.58
2022-01-31,200.24,369.9
2022-01-28,190.57,380.2
2022-01-27,189.75,373.99
2022-01-26,194.27,403.23
2022-01-25,204.1,403.18
2022-01-24,204.2,403.06
2022-01-21,205.44,398.81
2022-01-20,214.19,397.41
2022-01-19,217.08,401.65
2022-01-18,225.01,401.63
2022-01-14,225.96,403.45
2022-01-13,223.9,397.61
2022-01-12,217.45,395.53
2022-01-11,216.02,400.6
2022-01-10,209.31,402.23
2022-01-07,215.5,400.42
2022-01-06,211.34,397.27
2022-01-05,213.07,394.99
2022-01-04,213.63,396.99
2022-01-03,207.86,385.53
2021-12-31,201.32,387.07
2021-12-30,202.71,384.53
2021-12-29,203.66,384.99
2021-12-28,206.13,385.33
2021-12-27,203.17,384.21
2021-12-23,204.22,381.17
2021-12-22,201.69,379.81
2021-12-21,199.52,378.49
2021-12-20,188.48,369.95
2021-12-17,192.63,377.46
2021-12-16,190.79,378.72
2021-12-15,195.43,378.82
2021-12-14,195.5,376.22
2021-12-13,197.4,377.33
2021-12-10,205.06,371.06
2021-12-09,207.56,367.86
2021-12-08,211.03,364.09
2021-12-07,208.83,362.67
2021-12-06,205.88,363.96
2021-12-03,198.49,357.84
2021-12-02,202.38,352.57
2021-12-01,188.19,345.98
2021-11-30,197.85,348.8
2021-11-29,198.5,356.39
2021-11-26,199.21,353.98
2021-11-24,210.6,361.37
2021-11-23,209.13,364.21
2021-11-22,209.9,363.15
2021-11-19,214.13,353.13
2021-11-18,227.25,351.42
2021-11-17,226.62,353.96
2021-11-16,225.8,354.6
2021-11-15,233.09,360.0
2021-11-12,220.96,359.65
2021-11-11,219.38,359.94
2021-11-10,218.5,362.1
2021-11-09,220.79,364.52
2021-11-08,222.68,363.27
2021-11-05,224.46,364.37
2021-11-04,213.03,356.66
2021-11-03,213.38,354.11
2021-11-02,212.77,353.2
2021-11-01,214.58,354.85
2021-10-29,207.03,357.22
2021-10-28,207.85,358.64
2021-10-27,206.61,388.15
2021-10-26,209.81,396.57
2021-10-25,212.87,406.62
